928 97396 
-2167 -76861 167493 
23289 108653 90687 
75162 152896 57666 
22529 62508 180017 
47248 63808 142158 
61753 149513 63218 
42628 -190486 78839 
-18044 11767 140970 
-175621 130489 105421 
-89281 8199 87519 
186617 -199331 119685 
-60236 -7482 32007 
131660 -139119 108626 
-180016 -130750 87089 
11320 -7479 167937 
-54347 67498 32195 
-46080 -118427 125883 
-2583 -2501 141085 
-146250 64425 49188 
123093 197434 39493 
57944 -48235 151921 
-58551 68743 148091 
-54561 82403 151207 
-109064 -91785 153634 
-64074 6941 168236 
-116605 -116452 171548 
-172145 196417 77048 
-102867 -84830 190701 
-192647 19760 48507 
-31496 54043 184361 
19628 127287 56919 
-49544 11591 123521 
39155 27254 78115 
-153628 -48040 37477 
-65106 11627 192486 
-1356 54353 140557 
156844 176832 33650 
-144552 85316 7146 
-82242 -37958 45441 
-111272 135163 46222 
-67402 -40089 186828 
-89529 97915 180331 
91873 -145515 4211 
153832 195834 161705 
91222 -20579 72200 
-97049 162625 26359 
4786 -84755 93377 
-27619 -165446 62441 
-57097 65348 52247 
22288 160282 61086 
104302 153293 150608 
-107826 33225 8363 
-5715 163044 112044 
-76169 15432 178295 
-156816 -129098 4680 
-55870 -60720 42189 
-1280 174151 90331 
-103041 198628 22372 
83064 -183231 154090 
-60359 -9309 159881 
102392 130881 150132 
100638 26738 104319 
-158824 49659 168207 
106165 99545 72763 
197556 22522 116854 
154887 4478 167873 
69037 -55243 73573 
41522 -37716 123569 
23748 -162425 62886 
-110530 162841 190926 
-90284 -101078 32674 
-70410 108812 159301 
30349 79925 160647 
94023 94829 84468 
-3667 -142490 162483 
-152462 169942 12870 
932 -188440 174509 
-72243 175679 160794 
39545 64387 41682 
178153 -97881 81804 
174114 -16735 167934 
-143679 96275 121598 
-115216 48775 57075 
32787 -73420 3361 
-198950 -104617 198592 
-66811 -54915 124076 
64182 -162245 148073 
-130145 140688 40844 
136948 -24523 198495 
-189547 -173482 26369 
81999 90933 59852 
-178420 -43213 154842 
116908 -101967 122685 
-89896 29423 92166 
-121618 -86682 197147 
181903 -28291 94426 
-153120 -150504 39257 
62769 -122152 161704 
32865 -51925 180546 
-121234 182760 24336 
154071 40939 71754 
70121 -171183 35508 
-921 22490 12083 
188687 163766 132580 
-149651 132960 103299 
5120 -126705 57393 
54393 148738 102115 
180773 -109448 100014 
-61263 -153364 153334 
-185426 -34344 197940 
-98261 96478 1195 
-28669 56017 49744 
-179054 -101268 67181 
-140853 -29390 126410 
-110856 -73348 9255 
-174574 124919 135372 
-168095 114735 76645 
67478 -182904 16675 
130262 -138490 49212 
-170781 -174279 162652 
71651 191935 158863 
-197435 138572 29963 
95069 -184160 60865 
-114288 87749 74365 
-62080 166337 165155 
97608 73992 32211 
183185 -57220 40539 
-69687 -15681 56567 
-149944 -129248 187377 
137161 -29938 50845 
67933 -70573 115135 
144417 22292 159450 
-164876 -54831 192868 
117566 146918 37876 
-127744 32678 120555 
115363 17876 37304 
84023 -70980 197811 
-7130 83320 152929 
-163539 101213 112723 
14904 -34848 18373 
-169175 6409 45527 
107270 110690 174967 
